Origin,Destination,Aircraft_Type,Distance_km,Passengers,Cargo_Load_pct,Weather_Severity,Wind_kts,Cruise_Temperature_C,Flight_Duration_hr,Fuel_Burn_L,Efficiency_Rating
LHR,BCN,Boeing 787-10,1147.6,205,26.1,Severe,39.6,-43.6,1.27,6008.3,9.25
DFW,GRU,Airbus A380-800,8244.0,344,18.2,Severe,-43.5,-46.6,9.13,22704.3,9.92
YYZ,HND,Boeing 787-9,10346.4,227,73.1,Severe,42.1,-45.3,11.46,41104.3,9.56
ATL,GRU,Boeing 787-8,7510.6,159,76.4,Moderate,23.3,-53.1,8.32,26073.7,9.39
FRA,SEA,Airbus A330-300,8196.6,198,17.5,Mild,-1.6,-55.3,9.41,22189.3,9.7
SEA,SFO,Airbus A350-1000,1092.9,260,17.4,Severe,38.8,-48.7,1.21,5823.2,9.44
AMS,JNB,Airbus A330-900,9016.7,201,31.1,Mild,0.4,-42.9,10.21,24452.0,9.71
AMS,LHR,Airbus A350-1000,370.3,276,53.3,Severe,-41.3,-40.4,0.41,3083.4,9.07
BCN,MAD,Airbus A320ceo,483.1,97,11.4,Mild,-3.9,-53.7,0.58,2615.2,8.08
LAX,ATL,Airbus A350-900,3125.8,233,68.5,Mild,-7.7,-54.6,3.46,9988.4,9.7
FRA,ORD,Airbus A330-200,6970.8,202,76.1,Mild,7.7,-58.8,8.0,21182.8,9.65
SIN,AMS,Airbus A350-1000,10512.2,315,73.3,Severe,-49.5,-42.3,11.64,28680.3,9.9
JFK,DFW,Airbus A330-900,2235.0,265,12.8,Severe,-44.7,-51.9,2.53,7368.6,9.75
GRU,MAD,Airbus A330-200,8379.6,218,76.7,Moderate,19.7,-53.8,9.62,28080.5,9.64
DFW,LAX,Airbus A321neo,1983.0,176,41.8,Severe,48.9,-49.6,2.38,9532.5,9.18
JFK,FRA,Airbus A330-900,6188.5,232,72.1,Severe,-45.6,-56.1,7.01,17673.1,9.76
JFK,DFW,Boeing 787-9,2235.0,179,15.3,Moderate,15.5,-41.3,2.48,8263.3,9.43
SEA,YYZ,Airbus A320ceo,3307.0,125,68.3,Moderate,22.9,-42.1,3.99,12164.5,9.09
JNB,GRU,Airbus A330-200,7439.0,187,58.0,Severe,52.9,-40.1,8.54,32380.7,9.33
ATL,YYZ,Embraer E175,1190.9,65,72.4,Moderate,-34.4,-49.4,1.46,4398.5,8.04
BCN,CDG,Boeing 777-300ER,858.3,263,37.0,Mild,-5.3,-53.9,0.95,4139.1,9.52
ORD,DFW,Airbus A350-900,1290.0,233,66.2,Mild,4.9,-47.2,1.43,5568.8,9.52
BCN,GRU,Airbus A350-1000,8765.2,295,52.0,Moderate,15.6,-58.6,9.71,28205.5,9.81
ORD,JFK,Airbus A350-1000,1188.1,255,38.9,Moderate,25.4,-57.8,1.32,5871.9,9.48
SFO,FRA,Boeing 777-200ER,9147.9,194,27.9,Severe,-43.2,-53.8,10.26,24644.8,9.7
SFO,DFW,Boeing 777-200ER,2352.0,263,67.5,Mild,4.7,-41.9,2.64,8430.4,9.71
YYZ,SFO,Boeing 737-800,3628.0,112,50.7,Moderate,-18.0,-56.3,4.32,10635.7,9.22
SFO,SEA,Boeing 787-10,1092.9,299,74.4,Mild,-0.3,-46.5,1.21,5060.1,9.63
DFW,SFO,Boeing 737-800,2352.0,101,66.0,Mild,6.4,-54.2,2.8,7929.2,8.94
FRA,AMS,Boeing 737 MAX 8,365.7,133,75.5,Moderate,-28.2,-55.2,0.44,2598.2,8.17
CDG,HND,Boeing 787-10,9707.5,226,70.1,Severe,-37.6,-56.4,10.75,26430.8,9.77
HND,SIN,Airbus A319ceo,5298.5,109,54.0,Mild,10.5,-56.0,6.4,16449.2,9.13
CDG,DXB,Airbus A330-300,5238.8,181,51.3,Severe,39.9,-44.9,6.01,21312.3,9.36
LHR,DXB,Airbus A330-900,5497.4,231,11.8,Moderate,-22.6,-46.2,6.23,15455.1,9.76
DXB,BCN,Boeing 787-8,5175.4,199,36.5,Mild,-3.3,-54.3,5.73,14766.2,9.68
SFO,DFW,Airbus A320ceo,2352.0,102,43.5,Mild,-7.9,-48.8,2.84,7389.0,9.04
AMS,JFK,Boeing 787-10,5847.6,224,68.4,Moderate,-34.1,-46.7,6.48,16763.8,9.74
LAX,YYZ,Airbus A330-200,3494.5,168,55.0,Mild,5.9,-48.3,4.01,11284.4,9.49
CDG,SIN,Airbus A380-800,10723.4,305,30.1,Moderate,17.8,-50.3,11.88,34728.6,9.82
JNB,CDG,Boeing 787-10,8736.6,232,21.8,Moderate,-18.5,-44.9,9.68,23631.4,9.78
DFW,JFK,Airbus A330-200,2235.0,205,56.0,Severe,52.8,-49.7,2.57,11129.0,9.29
MAD,SIN,Airbus A330-200,11380.8,151,23.9,Moderate,-19.4,-55.8,13.07,30108.5,9.55
ORD,LAX,Airbus A330-900,2801.9,217,19.4,Severe,-38.1,-40.8,3.17,8752.4,9.68
ATL,SFO,Airbus A350-1000,3434.9,259,33.3,Moderate,27.5,-48.7,3.8,13374.5,9.65
SEA,BCN,Airbus A350-900,8729.8,198,61.0,Mild,-8.0,-53.9,9.67,23874.9,9.7
SFO,AMS,Airbus A330-300,8785.5,223,6.3,Severe,-44.4,-50.1,10.09,23616.2,9.77
JFK,FRA,Boeing 787-10,6188.5,229,73.7,Moderate,26.8,-43.2,6.85,22650.1,9.61
SFO,ATL,Boeing 737-900ER,3434.9,128,24.2,Mild,6.7,-49.2,4.09,10790.3,9.28
YYZ,ATL,Airbus A350-900,1190.9,259,12.7,Moderate,-22.6,-42.1,1.32,4746.5,9.64
JNB,CDG,Boeing 787-9,8736.6,202,63.2,Moderate,-27.3,-54.3,9.68,23882.9,9.71
JFK,LAX,Boeing 737-800,3974.3,146,15.3,Moderate,32.1,-54.8,4.74,15270.4,9.22
ATL,JNB,Airbus A350-1000,13582.0,224,21.8,Moderate,-15.0,-40.9,15.04,35746.6,9.78
LHR,AMS,Airbus A321neo,370.3,160,65.4,Severe,-43.7,-43.4,0.44,2649.1,8.5
SEA,LHR,Airbus A350-1000,7702.3,317,59.9,Mild,0.3,-44.3,8.53,21622.8,9.89
JNB,DXB,Airbus A330-900,6412.9,266,11.6,Moderate,28.0,-57.0,7.26,23195.6,9.71
ORD,JFK,Airbus A320neo,1188.1,130,52.2,Moderate,25.5,-59.7,1.43,5472.1,8.86
SFO,LAX,Airbus A321neo,543.7,121,9.3,Moderate,29.6,-54.3,0.65,3293.4,8.3
HND,LAX,Airbus A330-300,8812.6,216,21.3,Mild,-7.5,-46.1,10.12,23793.0,9.75
SEA,CDG,Boeing 777-300ER,8049.2,289,5.9,Moderate,27.5,-44.6,8.89,28539.9,9.76
LAX,FRA,Airbus A330-200,9321.3,196,22.8,Mild,-4.6,-42.6,10.7,25032.6,9.7
DXB,BCN,Airbus A330-300,5175.4,251,25.7,Severe,53.6,-45.2,5.94,23123.6,9.54
SEA,LAX,Boeing 787-10,1537.1,247,64.3,Moderate,21.1,-44.8,1.7,6969.3,9.52
ATL,CDG,Airbus A330-200,7055.4,218,10.3,Mild,-5.5,-41.6,8.1,19310.5,9.75
YYZ,DXB,Boeing 777-300ER,11081.9,235,13.1,Moderate,-29.0,-53.1,12.25,29440.7,9.79
ORD,FRA,Boeing 767-300ER,6970.8,153,38.4,Severe,45.4,-41.5,8.19,28673.0,9.19
DFW,FRA,Boeing 787-9,8257.3,190,45.7,Severe,44.3,-45.1,9.14,33497.5,9.41
SEA,JFK,Airbus A350-1000,3886.6,331,38.2,Moderate,25.1,-43.2,4.3,14774.5,9.79
CDG,AMS,Embraer E175,399.0,53,40.0,Mild,-8.3,-46.1,0.49,2350.4,5.94
JNB,GRU,Airbus A350-1000,7439.0,270,79.6,Severe,47.3,-51.4,8.24,31516.0,9.63
GRU,BCN,Airbus A350-1000,8765.2,225,40.8,Severe,-52.3,-51.5,9.71,23870.6,9.76
ORD,SEA,Boeing 787-8,2761.8,190,60.2,Severe,41.9,-56.5,3.06,12364.9,9.32
LHR,SIN,Boeing 787-8,10881.4,210,59.6,Severe,38.5,-59.2,12.05,41782.9,9.53
LHR,ATL,Airbus A330-900,6760.9,260,78.3,Severe,39.1,-56.7,7.66,27133.2,9.64
ORD,YYZ,Boeing 757-200,701.2,110,65.3,Moderate,31.2,-42.7,0.82,4160.5,8.15
CDG,AMS,Boeing 787-8,399.0,191,62.8,Moderate,19.0,-56.7,0.44,3231.4,8.59
SEA,YYZ,Airbus A320neo,3307.0,139,8.3,Moderate,-26.7,-57.6,3.97,9743.0,9.41
FRA,CDG,Airbus A320ceo,448.8,112,16.2,Moderate,23.7,-55.7,0.54,2888.7,8.01
YYZ,GRU,Airbus A350-1000,8193.5,318,11.0,Mild,-0.1,-43.2,9.07,22351.1,9.9
BCN,MAD,Boeing 787-9,483.1,201,69.2,Moderate,-30.4,-55.8,0.53,3292.6,8.92
DXB,CDG,Boeing 777-200ER,5238.8,222,5.1,Moderate,-21.4,-53.0,5.87,14737.6,9.74
HND,JFK,Airbus A330-900,10875.4,179,53.6,Mild,-0.8,-57.7,12.32,29145.0,9.65
GRU,MAD,Boeing 777-300ER,8379.6,243,76.1,Moderate,-33.5,-49.6,9.26,23243.5,9.79
LHR,JFK,Airbus A330-900,5540.0,182,48.8,Mild,8.0,-44.6,6.27,17107.9,9.58
LHR,AMS,Airbus A380-800,370.3,426,25.5,Severe,42.8,-53.6,0.41,3752.6,9.31
DFW,SFO,Boeing 737-800,2352.0,142,12.1,Mild,-14.9,-54.4,2.8,7374.7,9.38
CDG,JNB,Boeing 777-300ER,8736.6,323,43.0,Mild,4.3,-50.9,9.65,25125.7,9.89
CDG,LHR,Bombardier CRJ-900,347.0,50,71.2,Moderate,-17.5,-49.3,0.42,2247.1,5.23
MAD,JFK,Boeing 787-8,5760.4,176,48.4,Mild,-0.2,-42.4,6.38,16275.0,9.61
SFO,MAD,Airbus A380-800,9329.9,407,16.8,Moderate,23.6,-60.0,10.33,32128.2,9.9
JFK,BCN,Boeing 787-9,6150.4,201,5.8,Moderate,32.0,-48.9,6.81,22892.1,9.52
MAD,ORD,Airbus A330-900,6744.3,244,52.5,Severe,47.9,-53.2,7.64,28613.6,9.56
MAD,LHR,Boeing 767-300ER,1243.2,153,11.9,Severe,36.2,-41.7,1.46,6019.3,9.01
CDG,BCN,Boeing 737-800,858.3,111,46.3,Mild,-0.1,-44.7,1.02,3695.5,8.73
LHR,YYZ,Airbus A330-200,5707.2,184,41.0,Mild,3.6,-42.9,6.55,16734.0,9.62
DFW,CDG,Airbus A330-900,7944.0,237,58.5,Mild,7.6,-51.8,9.0,23776.7,9.74
DXB,DFW,Airbus A350-1000,12919.2,244,54.6,Moderate,-32.2,-40.8,14.31,34408.7,9.81
ATL,JFK,Airbus A330-300,1221.9,185,41.2,Severe,45.1,-41.4,1.4,6575.6,9.11
AMS,JFK,Airbus A380-800,5847.6,326,52.2,Moderate,22.3,-53.0,6.48,21109.1,9.8
ATL,LAX,Airbus A330-200,3125.8,194,71.7,Mild,9.6,-46.4,3.59,10815.4,9.54
JFK,SFO,Airbus A330-300,4152.1,245,68.5,Mild,14.5,-43.0,4.77,14378.0,9.69
SYD,GRU,Airbus A350-1000,13374.2,265,69.4,Severe,48.3,-51.2,14.81,55098.3,9.63
BCN,JNB,Boeing 787-8,7967.9,166,63.8,Mild,11.3,-55.6,8.82,24598.8,9.51
AMS,SIN,Airbus A350-900,10512.2,254,33.5,Moderate,-22.8,-54.1,11.64,28209.2,9.82
ORD,ATL,Boeing 737-900ER,975.5,141,37.6,Mild,-6.8,-42.8,1.16,4028.1,9.1
ATL,YYZ,Boeing 787-8,1190.9,180,58.2,Severe,44.6,-55.4,1.32,6522.7,9.06
AMS,LHR,Airbus A320neo,370.3,134,24.6,Moderate,21.8,-50.6,0.44,2685.0,8.14
DXB,JFK,Airbus A330-900,11001.4,214,64.9,Severe,54.8,-56.2,12.46,47695.0,9.45
JNB,HND,Airbus A350-1000,13523.2,246,39.8,Severe,42.2,-48.3,14.98,52931.6,9.62
YYZ,LAX,Airbus A350-1000,3494.5,315,39.6,Mild,9.7,-56.3,3.87,11860.9,9.82
SYD,SIN,Airbus A330-300,6293.2,228,70.4,Severe,41.7,-59.7,7.23,25785.7,9.54
HND,MAD,Airbus A330-900,10766.1,245,51.1,Mild,12.1,-51.0,12.19,32877.6,9.75
AMS,SIN,Boeing 777-300ER,10512.2,253,46.4,Mild,-8.2,-58.3,11.62,28336.5,9.82
DXB,AMS,Boeing 757-200,5168.5,158,14.7,Severe,41.4,-51.8,6.08,20901.5,9.24
FRA,LHR,Bombardier CRJ-900,653.5,68,62.7,Severe,-45.7,-43.5,0.79,3035.2,7.59
ATL,LHR,Boeing 787-8,6760.9,167,77.9,Severe,-42.7,-48.1,7.49,18977.7,9.58
JFK,MAD,Boeing 777-300ER,5760.4,225,78.4,Mild,11.3,-51.5,6.37,18629.3,9.68
SFO,FRA,Airbus A330-300,9147.9,207,37.9,Mild,14.8,-48.6,10.5,28820.0,9.64
SFO,DFW,Embraer ERJ-145,2352.0,33,28.3,Severe,48.0,-52.5,2.82,10548.8,4.98
ORD,SEA,Boeing 777-300ER,2761.8,257,73.2,Moderate,-30.2,-55.0,3.05,9199.3,9.73
ATL,ORD,Bombardier CRJ-900,975.5,61,9.6,Mild,-13.5,-44.3,1.18,3760.7,7.79
LHR,FRA,Boeing 777-300ER,653.5,324,6.1,Severe,46.3,-53.1,0.72,4376.1,9.43
SEA,ORD,Airbus A319ceo,2761.8,107,31.9,Moderate,-30.0,-42.4,3.34,8377.3,9.14
SIN,LHR,Airbus A380-800,10881.4,354,26.8,Moderate,-21.3,-49.2,12.05,29445.6,9.94
ATL,LAX,Boeing 787-8,3125.8,198,64.3,Moderate,25.4,-51.4,3.46,12227.9,9.47
HND,CDG,Boeing 777-300ER,9707.5,274,17.3,Mild,-5.1,-45.1,10.73,26111.7,9.85
FRA,CDG,Embraer ERJ-145,448.8,33,61.4,Moderate,-15.8,-50.8,0.54,2436.6,3.88
ATL,FRA,Boeing 777-300ER,7408.5,328,73.8,Moderate,-33.3,-48.5,8.19,20949.6,9.9
BCN,DXB,Boeing 787-10,5175.4,218,40.7,Severe,-48.7,-46.8,5.73,14853.4,9.72
FRA,MAD,Airbus A330-300,1419.9,201,61.1,Moderate,33.2,-47.4,1.63,7020.2,9.28
YYZ,ORD,Embraer ERJ-145,701.2,45,67.1,Mild,-11.0,-53.7,0.84,3094.3,6.44
DXB,SEA,Boeing 787-9,11927.5,256,49.0,Mild,-8.4,-52.6,13.21,31849.9,9.83
YYZ,JFK,Bombardier CRJ-900,588.2,48,69.6,Moderate,24.4,-49.2,0.71,3274.5,5.75
FRA,AMS,Boeing 787-9,365.7,223,39.3,Mild,-9.4,-44.3,0.4,2812.9,8.9
DFW,CDG,Boeing 777-200ER,7944.0,216,23.8,Moderate,-24.5,-45.7,8.91,21641.5,9.74
JFK,FRA,Boeing 787-9,6188.5,235,77.5,Mild,4.2,-46.2,6.85,18459.2,9.74
SEA,SIN,Airbus A350-1000,12977.9,268,24.1,Severe,-36.7,-43.8,14.37,34335.1,9.85
ATL,SFO,Airbus A220-300,3434.9,119,25.1,Mild,14.3,-57.6,4.15,11531.4,9.14
CDG,LHR,Airbus A220-300,347.0,119,75.5,Mild,-8.5,-53.6,0.42,2458.4,7.93
LAX,ORD,Airbus A330-200,2801.9,218,30.8,Severe,41.5,-51.0,3.22,12323.7,9.45
JFK,LAX,Boeing 777-300ER,3974.3,240,46.3,Moderate,25.1,-52.3,4.39,14961.1,9.63
SYD,SEA,Airbus A350-900,12464.1,287,20.6,Mild,-13.5,-55.6,13.8,33043.8,9.87
LHR,BCN,Airbus A330-200,1147.6,217,55.0,Mild,-13.1,-53.3,1.32,4885.5,9.47
GRU,LHR,Airbus A350-1000,9460.5,301,29.9,Mild,-14.8,-46.3,10.48,25651.1,9.88
BCN,SFO,Airbus A330-300,9585.9,220,27.7,Moderate,18.6,-41.4,11.01,31129.3,9.66
BCN,SFO,Boeing 777-300ER,9585.9,284,34.7,Mild,1.0,-52.2,10.59,26258.9,9.86
LAX,MAD,Boeing 777-200ER,9384.8,245,75.0,Moderate,21.1,-50.0,10.52,31659.9,9.7
SIN,SYD,Airbus A330-300,6293.2,196,76.4,Severe,50.5,-44.4,7.23,27434.8,9.37
MAD,BCN,Bombardier CRJ-900,483.1,52,15.6,Severe,37.6,-46.7,0.58,3066.1,5.52
ATL,LAX,Airbus A380-800,3125.8,387,56.1,Mild,3.8,-55.9,3.46,10918.6,9.88
SEA,SFO,Boeing 787-9,1092.9,187,52.0,Severe,45.0,-50.2,1.21,6137.0,9.07
HND,BCN,Airbus A350-1000,10443.5,229,19.8,Moderate,-26.6,-42.5,11.57,27891.8,9.78
MAD,DXB,Boeing 787-8,5649.3,149,52.5,Mild,-14.6,-58.0,6.26,15978.8,9.5
ATL,DXB,Airbus A350-900,12209.1,284,43.7,Severe,41.5,-56.4,13.52,47776.3,9.7
MAD,BCN,Boeing 787-10,483.1,234,6.0,Severe,39.9,-44.7,0.53,3454.4,9.05
SFO,ATL,Airbus A321ceo,3434.9,122,54.7,Severe,39.6,-59.5,4.15,14281.1,8.92
DXB,YYZ,Boeing 787-9,11081.9,203,79.2,Moderate,-15.7,-48.0,12.27,29868.6,9.72
LAX,YYZ,Boeing 737-800,3494.5,124,50.1,Severe,52.2,-52.1,4.17,15796.8,8.82
DXB,FRA,Boeing 737 MAX 8,4844.0,146,20.6,Severe,52.9,-47.8,5.77,21320.9,9.07
HND,AMS,Airbus A330-200,9316.3,169,32.2,Severe,-51.1,-43.9,10.7,25044.2,9.62
ATL,MAD,Boeing 787-10,6959.9,235,35.6,Moderate,-31.7,-42.0,7.71,19304.5,9.78
JFK,YYZ,Bombardier CRJ-900,588.2,55,43.1,Mild,14.5,-57.0,0.71,3079.9,6.56
FRA,JFK,Airbus A350-900,6188.5,241,52.7,Mild,2.3,-44.6,6.85,17961.3,9.77
FRA,SIN,Airbus A330-200,10278.4,175,12.2,Moderate,24.5,-47.2,11.8,34853.0,9.48
YYZ,SFO,Airbus A380-800,3628.0,317,14.3,Severe,-38.4,-46.6,4.02,11056.4,9.86
ATL,CDG,Airbus A350-1000,7055.4,318,55.9,Mild,-5.7,-53.4,7.81,19893.5,9.89
ATL,YYZ,Airbus A350-1000,1190.9,319,56.5,Severe,36.9,-49.2,1.32,6556.4,9.56
SEA,ORD,Embraer E190,2761.8,66,21.5,Severe,-45.7,-46.8,3.38,8258.0,8.48
BCN,CDG,Embraer E175,858.3,47,52.0,Severe,39.7,-59.5,1.05,4527.5,5.9
DFW,JFK,Boeing 777-200ER,2235.0,225,65.4,Moderate,-33.7,-47.8,2.51,7722.6,9.64
ATL,SEA,Airbus A330-300,3504.7,253,61.1,Moderate,-19.3,-58.2,4.02,10912.0,9.76
SEA,JFK,Boeing 737-900ER,3886.6,128,61.0,Moderate,-22.7,-56.3,4.63,11366.4,9.35
DXB,AMS,Airbus A330-900,5168.5,224,44.7,Moderate,-27.0,-52.2,5.85,14886.7,9.73
DFW,CDG,Boeing 787-8,7944.0,171,48.9,Severe,44.7,-47.5,8.8,32380.7,9.31
BCN,LAX,Boeing 787-10,9674.6,236,47.8,Moderate,27.3,-50.0,10.71,34109.3,9.65
SFO,DFW,Airbus A320neo,2352.0,98,47.7,Severe,-41.7,-50.3,2.82,7402.5,8.99
LHR,SEA,Boeing 787-10,7702.3,300,27.1,Mild,-8.7,-51.5,8.53,21210.6,9.88
FRA,CDG,Airbus A321neo,448.8,146,40.4,Moderate,28.8,-53.7,0.54,3117.4,8.39
YYZ,LHR,Airbus A380-800,5707.2,435,27.4,Mild,-3.7,-42.7,6.32,16664.8,9.97
HND,LAX,Boeing 777-300ER,8812.6,289,26.8,Severe,-41.2,-53.5,9.74,23983.2,9.87
LAX,SEA,Airbus A350-1000,1537.1,262,65.0,Mild,-9.2,-54.0,1.7,6076.3,9.65
LHR,FRA,Airbus A330-300,653.5,180,61.6,Moderate,15.9,-45.2,0.75,3968.9,8.93
LHR,CDG,Boeing 777-300ER,347.0,325,50.8,Moderate,20.2,-54.0,0.38,3301.1,9.1
SFO,JFK,Boeing 777-300ER,4152.1,241,48.0,Severe,-35.7,-50.9,4.59,12429.0,9.75
JFK,GRU,Boeing 767-300ER,7664.1,158,75.3,Severe,45.7,-42.6,9.01,31703.5,9.22
BCN,YYZ,Airbus A330-900,6417.6,189,70.5,Severe,-48.9,-44.5,7.27,18155.5,9.65
LAX,JFK,Airbus A330-300,3974.3,259,30.2,Severe,-53.9,-49.7,4.56,11846.8,9.79
SFO,MAD,Airbus A330-900,9329.9,265,19.3,Moderate,-34.7,-53.7,10.57,25157.9,9.84
SEA,JFK,Boeing 777-300ER,3886.6,308,70.9,Moderate,21.6,-41.0,4.29,14601.8,9.76
SIN,JNB,Boeing 787-8,8656.7,203,27.6,Severe,43.9,-58.2,9.59,34819.9,9.47
AMS,ATL,Airbus A330-300,7065.6,225,8.7,Severe,45.6,-45.6,8.11,28999.9,9.53
JNB,BCN,Boeing 777-200ER,7967.9,213,46.3,Severe,-45.7,-52.1,8.93,21878.5,9.73
DXB,JFK,Airbus A350-900,11001.4,269,14.7,Moderate,-18.2,-44.7,12.18,29306.5,9.85
ORD,LHR,Boeing 787-10,6344.7,264,71.9,Severe,35.0,-60.0,7.03,24772.1,9.66
AMS,LAX,Boeing 787-9,8956.1,177,39.6,Severe,-41.8,-43.5,9.92,24208.1,9.64
LHR,MAD,Airbus A380-800,1243.2,415,47.7,Severe,-52.7,-46.9,1.38,5776.7,9.8
CDG,MAD,Boeing 777-300ER,1061.7,263,78.0,Mild,4.3,-54.9,1.17,5139.4,9.52
JNB,CDG,Airbus A330-900,8736.6,211,42.8,Severe,-49.2,-45.7,9.89,23767.7,9.73
JNB,SYD,Airbus A330-200,11032.4,154,12.0,Mild,1.1,-57.5,12.67,29500.4,9.56
ATL,DFW,Boeing 737-800,1174.7,133,31.5,Severe,54.2,-43.5,1.4,6387.0,8.65
DFW,MAD,Boeing 777-200ER,7972.1,213,33.4,Severe,-50.7,-54.9,8.94,21783.9,9.74
BCN,JFK,Airbus A330-200,6150.4,211,8.3,Mild,-13.6,-51.4,7.06,17020.0,9.72
JFK,LAX,Airbus A330-300,3974.3,233,39.4,Mild,0.2,-57.2,4.56,11903.0,9.73
DFW,ATL,Airbus A330-200,1174.7,221,21.8,Moderate,-34.6,-48.0,1.35,4703.3,9.53
YYZ,DFW,Airbus A321ceo,1928.8,157,15.7,Moderate,27.2,-55.0,2.33,7935.9,9.22
YYZ,LAX,Boeing 777-300ER,3494.5,306,76.4,Severe,47.9,-49.2,3.86,16167.9,9.65
MAD,BCN,Boeing 737-900ER,483.1,113,8.3,Moderate,-20.0,-41.2,0.58,2641.0,8.36
AMS,DFW,Boeing 787-10,7900.1,235,55.5,Moderate,25.1,-44.1,8.75,27766.3,9.65
AMS,DFW,Boeing 767-300ER,7900.1,185,75.2,Mild,13.7,-49.6,9.28,25078.3,9.57
LAX,SFO,Airbus A330-900,543.7,189,49.1,Mild,12.5,-43.2,0.62,3500.8,8.92
ORD,BCN,Airbus A350-900,7094.5,266,67.7,Moderate,15.4,-41.2,7.86,23242.8,9.76
DFW,JFK,Boeing 787-9,2235.0,178,59.7,Moderate,26.4,-58.2,2.48,9327.3,9.33
LHR,JNB,Boeing 777-200ER,9074.1,249,42.4,Severe,-40.0,-45.5,10.17,24676.7,9.81
LAX,AMS,Airbus A350-1000,8956.1,249,51.8,Mild,-10.2,-43.0,9.92,24485.9,9.81
YYZ,LHR,Airbus A330-300,5707.2,251,73.8,Moderate,34.0,-50.2,6.55,22336.3,9.63
CDG,MAD,Boeing 777-200ER,1061.7,205,40.7,Moderate,-27.5,-57.8,1.19,4553.2,9.42
YYZ,ATL,Boeing 737-800,1190.9,126,26.9,Moderate,16.1,-49.9,1.42,5068.0,8.93
AMS,ATL,Boeing 777-300ER,7065.6,324,65.1,Mild,-2.9,-43.8,7.81,20009.7,9.89
DXB,FRA,Boeing 737 MAX 9,4844.0,120,58.3,Moderate,26.8,-57.8,5.77,17634.5,9.06
CDG,LAX,Airbus A380-800,9102.7,377,70.3,Mild,-9.8,-59.5,10.08,25698.5,9.94
JFK,SFO,Airbus A321neo,4152.1,143,34.2,Mild,7.2,-56.4,4.98,12853.8,9.4
SFO,SEA,Boeing 737 MAX 9,1092.9,161,46.9,Mild,12.3,-44.0,1.3,4793.3,9.18
JFK,DFW,Boeing 737-800,2235.0,103,39.6,Severe,-51.0,-59.1,2.66,7101.2,9.04
ORD,SEA,Boeing 737-700,2761.8,80,37.0,Severe,-52.9,-45.5,3.29,8348.3,8.77
BCN,FRA,Airbus A320ceo,1093.6,91,22.9,Severe,43.1,-49.5,1.32,5577.2,8.07
AMS,DFW,Airbus A330-200,7900.1,188,47.2,Moderate,-21.3,-56.7,9.07,21653.9,9.67
DFW,ORD,Airbus A319ceo,1290.0,94,53.5,Severe,41.2,-42.2,1.56,6323.8,8.22
SFO,ORD,Airbus A330-900,2964.0,265,69.0,Mild,-14.5,-46.8,3.36,9645.9,9.76
LHR,MAD,Airbus A319ceo,1243.2,88,20.7,Moderate,20.0,-52.7,1.5,5266.1,8.37
SEA,ATL,Boeing 737 MAX 8,3504.7,132,77.6,Severe,54.3,-43.3,4.18,16156.5,8.88
SIN,JNB,Boeing 777-300ER,8656.7,221,60.4,Severe,-48.3,-48.2,9.57,23761.3,9.75
ATL,SFO,Boeing 737 MAX 9,3434.9,154,59.9,Severe,43.3,-42.8,4.09,14738.0,9.16
BCN,DFW,Airbus A330-200,8342.0,166,56.0,Severe,-50.8,-57.9,9.58,22787.4,9.6
MAD,FRA,Airbus A330-300,1419.9,221,13.3,Moderate,15.6,-58.2,1.63,5919.8,9.5
HND,SEA,Boeing 787-8,7711.9,159,48.2,Severe,48.6,-58.1,8.54,32365.5,9.21
SEA,YYZ,Airbus A321neo,3307.0,174,76.2,Severe,-43.3,-54.0,3.97,10055.2,9.56
GRU,FRA,Boeing 777-200ER,9798.1,252,50.0,Moderate,24.2,-44.2,10.98,33677.7,9.7
CDG,MAD,Airbus A330-200,1061.7,217,19.9,Mild,-9.4,-52.3,1.22,4398.8,9.49
SFO,DFW,Boeing 737 MAX 9,2352.0,157,7.6,Moderate,29.7,-57.0,2.8,9486.0,9.24
ORD,ATL,Boeing 787-8,975.5,176,21.4,Moderate,-17.3,-48.5,1.08,4113.9,9.31
SEA,SFO,Boeing 777-200ER,1092.9,232,51.2,Moderate,-25.9,-40.7,1.23,4764.3,9.51
YYZ,LAX,Airbus A321ceo,3494.5,136,10.6,Mild,-13.3,-55.4,4.22,10219.3,9.4
MAD,GRU,Airbus A350-900,8379.6,260,61.6,Moderate,29.7,-45.3,9.28,30586.9,9.69
CDG,SIN,Airbus A380-800,10723.4,331,40.6,Severe,-36.3,-56.6,11.88,29218.5,9.91
DXB,GRU,Airbus A350-900,12217.2,211,8.1,Severe,54.1,-47.6,13.53,52018.2,9.45
CDG,FRA,Airbus A220-300,448.8,108,66.2,Severe,48.2,-44.3,0.54,3320.4,7.59
SFO,CDG,Boeing 787-10,8962.3,261,63.4,Severe,-49.0,-47.8,9.93,24578.2,9.83
LAX,JFK,Airbus A330-900,3974.3,185,71.1,Mild,5.3,-56.0,4.5,12678.9,9.57
SFO,GRU,Boeing 787-8,10427.2,193,65.5,Severe,37.1,-46.1,11.55,39695.2,9.47
LAX,ORD,Boeing 787-8,2801.9,221,40.3,Severe,-41.9,-40.0,3.1,8899.7,9.68
LAX,MAD,Airbus A330-200,9384.8,194,43.5,Mild,2.8,-40.1,10.77,26141.3,9.68
SFO,ATL,Embraer E190,3434.9,89,20.3,Severe,47.5,-55.7,4.2,14874.4,8.35
